"title","asin","brand","stars","reviewsCount","thumbnailImage","breadCrumbs","description","price","price/currency","price/value","url"
"VT COSMETICS PDRN Cream 100, Nourishing & Restorative Moisturizer with 100,000 ppm Vegan PDRN, Lightweight Hydrating Cream for Glowy Glass Skin, Korean Skincare","B0DG1NJDX1","VT COSMETICS","4.6","117","https://m.media-amazon.com/images/I/31VNRIHyD+L._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care > Face > Creams & Moisturizers > Face Moisturizers",,,"$","26","https://www.amazon.com/dp/B0DG1NJDX1"
"Silver Biotics First Aid Healing & Soothing Gel | Advanced SilverSol Technology | Amazing for Healing Skin from Scars, Burns, Wounds, Blemishes & More | 20ppm | 4 Oz (Pack of 2)","B00KQ1Q4JY","American Biotech Labs","4.8","1338","https://m.media-amazon.com/images/I/51Be3yqmxNL._AC_SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care","Silver Biotics Colloidal Nano SilverSol Ag₄O₄ 20 ppm Healing & Soothing Gel | Great For Healing Skin From Scars, Burns, Wounds, Blemishes & More | 4 Oz (Pack of 2)",,"$","34.95","https://www.amazon.com/dp/B00KQ1Q4JY"
"HERBALISTA Viral New Herbal Shampoo 1000ml (33 fl oz) - With Real Rosemary, Cinnamon, Anise, Clove, Aloe, Ginger, & Eucalyptus - Fortalece, Regenera, Acelera Crecimiento – 100% Natural & Handcrafted","B0FC1W54GS","HERBALISTA","4","25","https://m.media-amazon.com/images/I/41hXR4F1LZL._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Hair Care > Shampoo & Conditioner > Shampoos","Herbalista Viral Herbal Shampoo – 1000ml (33 fl oz)Made with Real Rosemary, Cinnamon, Anise, Clove, Aloe, Ginger & Eucalyptus – Strengthens, Repairs & Boosts Growth – 100% Natural & HandcraftedExperience the Power of Nature in Every WashElevate your hair care game with Herbalista’s Viral Herbal Shampoo — a handcrafted blend of real botanical pieces and pure plant-based ingredients. Designed for those who want more than just clean hair, this shampoo is your go-to for growth, strength, and natural shine.Why It’s a Must-Have:🌿 Real Botanicals, Real Results: This isn’t just about extracts — we use actual pieces of rosemary, cinnamon, anise, clove, and more to deliver deep nourishment directly from the plant source.💧 Revives & Repairs: Infused with aloe vera and ginger, it helps hydrate the scalp, reduce breakage, and support natural hair growth with every wash.🌬️ Aromatic Experience: Feel refreshed with the crisp, herbaceous scent of eucalyptus and spicy-sweet cinnamon — your senses will thank you.🧴 Clean Beauty, Always: No parabens. No sulfates. No artificial junk. Just honest ingredients and artisan craftsmanship in every bottle.💚 For All Hair Types: Whether your hair is curly, coily, straight, dry, or oily — this gentle formula is made for you.Treat your hair to the Herbalista experience and let every strand soak up the benefits of real herbs and tradition-inspired care.",,"$","29.99","https://www.amazon.com/dp/B0FC1W54GS"
"Dr. Rydland's Herbal Supplement | Created by KidsWellness | Safe and Effective for Infants to Adults| Detox & Skin | Relieves Eczema, Rosacea, Acne and Viral Skin Rashes | 2 Ounce Bottle","B005AA81CO","Dr. Rydland's","4.1","104","https://m.media-amazon.com/images/I/713sOKFgRBL._AC_SY300_SX300_QL70_FMwebp_.jpg","Health & Household > Health Care > Over-the-Counter Medication > Eczema, Psoriasis & Rosacea Care",,,"$","25.63","https://www.amazon.com/dp/B005AA81CO"
"Rootonix No-Wash Protein Treatment – Easy Leave-In Hair Care with 12,000ppm Low – Molecular Collagen&Black Truffle for Moisture and Damage Repair – 10 fl. oz. (300ml)","B0F66ZXNYT","ROOTONIX Périgord","4.6","31","https://m.media-amazon.com/images/I/21zz0jBhxzL._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Hair Care > Hair Treatment Oils",,,"$","28","https://www.amazon.com/dp/B0F66ZXNYT"
"VFcare lysine for Cats l-lysine for Cats 250mg Tuna with Salmon Flavor Supplement Paste Supports Immunity FHV-1 Stress Recovery Digestion Calming no by-Products Vet Recommended 30 sachets","B0DQ3T2PJ1","VFCARE","4.8","40","https://m.media-amazon.com/images/I/71-4SSziB2L._AC_SY300_SX300_QL70_FMwebp_.jpg","Health & Household > Vitamins, Minerals & Supplements > Amino Acids > L-Lysine",,,"$","31.99","https://www.amazon.com/dp/B0DQ3T2PJ1"
"Whipped Korean Skincare Face Wash, Deep Cleansing Vegan Facial Cleanser for Oily Skin and Pore Care with Niacinamide, Hyaluronic Acid, Ceramide, Mugwort & Teatree, Doubles as a Face Mask, 4.5 oz","B0CZP442Y2","Whipped Semo Company","4.6","425","https://m.media-amazon.com/images/I/314tuloiu6L._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care > Face > Cleansers > Washes",,,"$","25.99","https://www.amazon.com/dp/B0CZP442Y2"
"ELROEL Blanc Cover Cream Stick V White - Korean Color-Changing Foundation Stick with Volufiline - Medium to Full Coverage Dewy Finish Base Makeup - Dual-Ended with Detachable Brush (202 Natural)","B0DJ8Z98MY","ELROEL","3.8","3998","https://m.media-amazon.com/images/I/31RxPHMRHmL._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Makeup > Face > Foundation",,,"$","27.9","https://www.amazon.com/dp/B0DJ8Z98MY"
"Abib Mild Acidic Ph Sheet Mask Jericho Rose Fit 10 Sheets (Anti-aging) I Korean Face Mask for Sensitive Skin, Soothing & Redness Relief, Daily Skincare Treatment, K-Beauty Sheet Mask","B0BXNZY77J","Abib","4.6","601","https://m.media-amazon.com/images/I/41xsbZ+oB-L._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care > Face > Treatments & Masks > Masks",,,"$","32","https://www.amazon.com/dp/B0BXNZY77J"
"LANEIGE Neo Blurring Powder: Korean Oil-Control Compact with Pore Blurring, Smoothing Finish & Travel-Friendly, No-Spill Packaging","B0G15NSNRM","","4.3","1492","https://m.media-amazon.com/images/I/310Zc4xUFeL._SX342_SY445_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care > Sets & Kits",,,"$","37","https://www.amazon.com/dp/B0G15NSNRM"
"TruSkin Vitamin C Super Serum for Face – All-in-One Anti-Aging Serum with Vitamin C, Retinol, Niacinamide, Hyaluronic Acid & Squalane – Improve Appearance of Dark Spots, Firmness & Texture, 2 Fl Oz","B0BKTTBP4M","TruSkin","4.5","13858","https://m.media-amazon.com/images/I/31tzTvsOiML._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care > Face > Treatments & Masks > Serums",,,"$","39.99","https://www.amazon.com/dp/B0BKTTBP4M"
"LANEIGE Neo Blurring Powder: Korean Oil-Control Compact with Pore Blurring, Smoothing Finish & Travel-Friendly, No-Spill Packaging","B0FGKY7HPB","LANEIGE","4.3","1492","https://m.media-amazon.com/images/I/31GtqbLv6bL._SX342_SY445_QL70_FMwebp_.jpg","Beauty & Personal Care > Makeup > Face > Powder",,,"$","19","https://www.amazon.com/dp/B0FGKY7HPB"
"Sugardoh Sugar Waxing Kit for Women As Seen On Shark Tank (Mini Kit Medium) Face, Arms, & Legs, Sugar Wax Hair Removal- Sugaring Tiktok Viral Products- Bikini Wax Kit for Women - Sugaring Kit","B0BFD3YT8L","SUGARDOH","3.9","878","https://m.media-amazon.com/images/I/41lK7wnGtCL._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Shave & Hair Removal > Women's > Waxing > Wax",,,"$","29.99","https://www.amazon.com/dp/B0BFD3YT8L"
"Touchland Hydrating Hand Sanitizer Spray, BLOSSOM Trio Set (Lavender, Vanilla, Rainwater), 1 FL. OZ. Travel Size Power Mist Sprays (Set of 3)","B09YSYJZ92","Touchland","4.8","12177","https://m.media-amazon.com/images/I/41LriX1lzdL._SY300_SX300_QL70_FMwebp_.jpg","Health & Household > Health Care > First Aid > Antibiotics & Antiseptics > Hand Sanitizers",,,"$","30","https://www.amazon.com/dp/B09YSYJZ92"
